Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2021-01-04,214.67109571477062,215.12449830133912,207.22373522378638,210.0020294189453,37130100,130.419782261114,130.50768895985888,123.81674167932394,126.40521240234375,143301900
2021-01-05,209.58719281314148,210.80270379708463,208.08228847102743,210.20458984375,23823000,125.89733760282162,128.68117019094734,125.44801165954016,127.96810913085938,97664900
2021-01-06,204.67698916805705,208.844430841884,204.45511598409854,204.75416564941406,35930700,124.75448181589701,128.00716462914988,123.44559128213457,123.66048431396484,155088000
2021-01-07,206.48090458530808,211.59373143430213,206.1625718994566,210.580810546875,27694500,125.37962311713653,128.57370150076903,124.89123256509167,127.88018035888672,109578200
2021-01-08,210.95704072206647,212.7899487253861,209.36531838225514,211.8638458251953,22956200,129.35509913564104,129.55046725691102,127.20618394212671,128.9839324951172,105158200
2021-01-11,210.75446802047415,211.1789312417317,209.07591293274825,209.80908203125,23031300,126.1903600931944,127.14760145406545,125.51637870995441,125.9852294921875,100384500
2021-01-12,208.85403813753175,209.43285429285,205.7863507861013,207.3394775390625,23249300,125.51635755772662,126.67872932371974,123.91443732593233,125.80939483642578,91951100
2021-01-13,206.46164808437925,209.10487249439277,206.37481534806392,208.69970703125,20087100,125.77033487541826,128.39787854041427,125.5066146974837,127.85088348388672,88636800
2021-01-14,208.28485291795934,209.78011553748576,205.2268074769419,205.49691772460938,29480800,127.76296279527958,127.95831602204765,125.77032113055597,125.9168472290039,90221800
2021-01-15,205.97931492801197,206.93434258903514,204.5419305865932,205.14002990722656,31746500,125.78987829152969,127.19644556564833,124.05120899560467,124.18795776367188,111598500
2021-01-19,206.20115613666417,209.31708059671112,205.1207150230666,208.79615783691406,30480900,124.8130888108596,125.72150299180522,123.99259625706779,124.86193084716797,90757300
2021-01-20,210.01167500183746,217.81596395680273,209.61615108340143,216.41717529296875,37777300,125.67265386569356,129.4137270875099,125.56520735367549,128.9644012451172,104319500
2021-01-21,216.76444885263814,218.30794883439074,214.56497094658008,217.02491760253906,30709400,130.6932767164714,136.42697536129248,130.48814618626398,133.69198608398438,120150900
2021-01-22,219.06040382451215,221.94481374827697,217.82560971130675,217.97030639648438,30172700,133.11570006235684,136.6028150348242,131.88496149210033,135.84092712402344,114459400
2021-01-25,221.02831954312117,221.66501430323464,216.30137540994957,221.42384338378906,33152100,139.74808861764467,141.72117584234562,133.3696938895246,139.6015625,157611700
2021-01-26,223.67155173043378,225.9096101446102,221.95441601062203,224.1249542236328,49169600,140.2657846428541,140.9495284939652,138.08755186106706,139.83599853515625,98390600
2021-01-27,229.5947281242748,231.94855878459933,222.01231340498785,224.67483520507812,69870600,140.0996903145117,140.94949991131097,137.14982245441175,138.76150512695312,140843800
2021-01-28,227.28913991464296,234.07086552904022,226.787500240888,230.49188232421875,49111200,136.28047622181393,138.6931262527624,133.52594691185897,133.90689086914062,142621100
2021-01-29,227.6557255174755,229.6140323700672,223.17959346585073,223.76805114746094,42503100,132.67619570373378,133.56507019639048,127.18668998356583,128.89605712890625,177523800
2021-02-01,226.7585524104665,233.93580162796925,224.22142952161613,231.1864471435547,33314200,130.64447709526527,132.23663511827664,127.88994713431293,131.02542114257812,106239800
2021-02-02,232.77819906978667,233.75252438846982,230.26037381506274,231.05140686035156,25916300,132.57849082798725,133.14502563870852,131.48450079597174,131.85568237304688,83305400
2021-02-03,231.10930869338551,236.43435275542583,230.8102443459254,234.4181671142578,27158100,132.6077812510319,132.61755859976557,130.50770809360628,130.83004760742188,89880900
