Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,87.58128228878026,87.705186375187,84.9508603421397,85.89584350585938,37324000,163.5,163.60000610351562,157.2010040283203,159.3314971923828,88228000,214.6710645186819,215.12446703936178,207.22370510995103,210.0019989013672,37130100,130.419813747916,130.50772046788387,123.81677157197642,126.40524291992188,143301900,273.4910378759819,273.7100070966361,263.9559899025982,267.6784362792969,15106100
2021-01-05,85.84408193305059,86.92590772422496,85.43653030985007,86.5885238647461,20360000,158.30050659179688,161.16900634765625,158.2530059814453,160.92550659179688,53110000,209.58719281314148,210.80270379708463,208.08228847102743,210.20458984375,23823000,125.89730757907694,128.68113950331986,125.4479817429498,127.96807861328125,97664900,267.0314622056163,271.1221676479237,266.95182047531745,269.6988830566406,9871600
2021-01-06,84.6084852313309,86.7835871141567,84.40147477035065,85.73410034179688,46588000,157.32400512695312,159.87550354003906,156.55799865722656,156.91900634765625,87896000,204.6769586619817,208.84439971467242,204.45508551109228,204.75413513183594,35930700,124.75447411900687,128.00715673158123,123.44558366599814,123.66047668457031,155088000,260.7710070140246,266.49403483971406,258.79035145155876,262.0748596191406,24354100
2021-01-07,85.92718285176521,88.4680365310176,85.92718285176521,88.29486846923828,41936000,157.85000610351562,160.427001953125,157.75,158.10800170898438,70290000,206.48090458530808,211.59373143430213,206.1625718994566,210.580810546875,27694500,125.37962311713653,128.57370150076903,124.89123256509167,127.88018035888672,109578200,264.65269578810233,270.3359025056691,263.53795440473635,267.4793701171875,15789800
2021-01-08,88.43520016542561,89.53991920335396,87.64198775015869,89.46378326416016,35484000,159.0,159.53199768066406,157.11000061035156,159.13499450683594,70754000,210.95702552858702,212.78993339989754,209.3653033034142,211.86383056640625,22956200,129.35508383294297,129.55045193110092,127.20616889364516,128.98391723632812,105158200,267.0513994328306,267.6884118776815,261.94545856026525,266.31488037109375,18528300
2021-01-11,88.42822700365895,88.79447981255163,87.19015051877497,87.39665985107422,34796000,157.40049743652344,157.81900024414062,155.5,155.7104949951172,73668000,210.75445269292996,211.1789158833176,209.07589772728036,209.80906677246094,23031300,126.1903600931944,127.14760145406545,125.51637870995441,125.9852294921875,100384500,259.25811720283696,262.23408159904403,254.6995846575814,255.6351776123047,30412300
2021-01-12,86.85275814625061,87.97439454842011,85.4106552853316,86.45814514160156,29528000,156.0,157.10699462890625,154.3000030517578,156.04150390625,70292000,208.8540842482833,209.43290053139245,205.78639621956947,207.3395233154297,23249300,125.5163499461026,126.67872164160659,123.91442981145272,125.80938720703125,91951100,255.42619159676337,258.5016932201833,249.1258828653461,249.91217041015625,26383500
2021-01-13,85.95505131902136,87.40164172592644,85.95505131902136,86.94681549072266,23432000,156.4219970703125,159.49749755859375,156.10400390625,158.29449462890625,66424000,206.46161789406628,209.10484191756842,206.37478517044826,208.69967651367188,20087100,125.77033487541826,128.39787854041427,125.5066146974837,127.85088348388672,88636800,250.3700052943654,252.7587410418486,248.0310228517457,250.45957946777344,19528900
2021-01-14,87.02742972253594,87.95699134492605,85.89285459109898,86.13420104980469,29212000,158.37600708007812,158.89999389648438,156.0294952392578,156.37350463867188,61418000,208.2848838495633,209.78014669114557,205.22683795440696,205.4969482421875,29480800,127.76297827778365,127.95833152822492,125.7703363715888,125.91686248779297,90221800,252.21134098783833,253.83369981661875,243.46257994850188,244.4877471923828,29739400
2021-01-15,86.03965259011923,86.96522784661244,85.17827693487668,85.96998596191406,31444000,156.1510009765625,157.12750244140625,154.7584991455078,155.21249389648438,84880000,205.97926896436093,206.9342964122726,204.54188494369004,205.13998413085938,31746500,125.7898473803004,127.1964143087734,124.05117851163078,124.18792724609375,111598500,246.7371168177972,252.66916566410885,246.00059781255973,250.18089294433594,24942900
2021-01-19,86.73532241988458,89.76284772453106,86.22924282649801,88.79895782470703,41660000,155.35000610351562,157.25,154.8000030517578,156.03799438476562,66102000,206.2011410675174,209.3170652998531,205.12070003287826,208.796142578125,30480900,124.81307355803929,125.7214876279719,123.99258110451602,124.8619155883789,90757300,255.69490322853497,260.9700597144118,251.53451845577186,259.8752136230469,28028500
2021-01-20,90.88398401260814,94.53403661408476,90.54262136383335,93.55621337890625,64152000,159.09950256347656,163.99000549316406,158.75,163.16900634765625,106196000,210.01167500183746,217.81596395680273,209.61615108340143,216.41717529296875,37777300,125.67265386569356,129.4137270875099,125.56520735367549,128.9644012451172,104319500,267.6684606873908,269.0519548732875,262.3634767133542,266.22528076171875,25199900
2021-01-21,94.23198512960039,96.14433582290614,93.52336737446421,93.75923919677734,58634000,164.64999389648438,167.42750549316406,164.47850036621094,165.34950256347656,98722000,216.76446409311393,218.30796418338835,214.56498603241292,217.02493286132812,30709400,130.69330654954064,136.42700650318062,130.48817597250854,133.6920166015625,120150900,267.996944972937,272.3165829346263,266.2352283803753,271.5899963378906,20838700
2021-01-22,94.12299577520295,94.76641920003334,93.37855385519987,94.177734375,32744000,165.2154998779297,166.0955047607422,164.1580047607422,164.6114959716797,56438000,219.06040382451215,221.94481374827697,217.82560971130675,217.97030639648438,30172700,133.11570006235684,136.6028150348242,131.88496149210033,135.84092712402344,114459400,270.7340314296534,277.16371955451825,270.72406861908013,273.21234130859375,21954000
