Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume
Date,,,,,
2020-01-02,71.7210264890596,72.77660582997152,71.46681974859514,72.71607971191406,135480400
2020-01-03,71.9413205610049,72.77173687491619,71.78395417961447,72.00910949707031,146322800
2020-01-06,71.12786596061405,72.62164622763687,70.87607527260708,72.5829086303711,118387200
2020-01-07,72.59258596559819,72.84921605109494,72.02122310005907,72.24153900146484,108872000
2020-01-08,71.9437663243162,73.70628659812324,71.9437663243162,73.40365600585938,132079200
2020-01-09,74.3841659131879,75.15647966923257,74.13238261481911,74.96279907226562,170108400
2020-01-10,75.19763610714092,75.69879404161257,74.62868922900458,75.13226318359375,140644800
2020-01-13,75.44942915816804,76.76405445807666,75.33079296168272,76.73741912841797,121532000
2020-01-14,76.67448999643469,76.88511970700802,75.57775702296071,75.70122528076172,161954400
2020-01-15,75.50028381601487,76.38396369325629,74.94343907710318,75.3768081665039,121923600
2020-01-16,75.92152830847965,76.43237250443956,75.5583716587375,76.32099914550781,108829200
2020-01-17,76.57034960714971,77.16834772132155,76.26287970437025,77.16593170166016,137816400
2020-01-21,76.79310894375465,77.23615682397768,76.50500406521856,76.64300537109375,110843200
2020-01-22,77.1296258918447,77.47099402402007,76.82215592624772,76.91658020019531,101832400
2020-01-23,76.96985393819801,77.3669014145498,76.42027207993955,77.2870101928711,104472000
2020-01-24,77.53394558679635,78.2796239983564,76.87299781703734,77.06426239013672,146537600
2020-01-27,75.06688907368486,75.48088552561684,73.8127900649216,74.79815673828125,161940000
2020-01-28,75.68184343719155,77.08604612277858,75.58257973802782,76.91415405273438,162234000
2020-01-29,78.55078999397739,79.37394362780475,77.80752757594179,78.52415466308594,216229200
2020-01-30,77.60415772537527,78.46362551493233,77.17078871761717,78.41036224365234,126743200
2020-01-31,77.69858276990855,78.1222655759737,74.63838622980492,74.93375396728516,199588400
2020-02-03,73.67237193822604,75.89731214570682,73.16879799630816,74.72795104980469,173788400
2020-02-04,76.33794039127015,77.38625661675313,75.93120675854502,77.19499206542969,136616400
2020-02-05,78.32562874403418,78.62584328517734,77.21921702642419,77.82447814941406,118826800
2020-02-06,78.09563507421905,78.73721039613278,77.53637437960353,78.73478698730469,105425600
2020-02-07,78.23243405494627,78.48239314790939,77.17192792843306,77.66456604003906,117684000
2020-02-10,76.24488144952362,78.0334243774414,76.16480064339702,78.0334243774414,109348800
2020-02-11,78.53094709552873,78.60374785280499,77.34424291008455,77.56265258789062,94323200
2020-02-12,78.0140331926388,79.40943770675925,78.0140331926388,79.40458679199219,113730400
2020-02-13,78.67412186901794,79.16676004463604,78.47027235558737,78.83914184570312,94747600
2020-02-14,78.80759072301922,79.10851777495836,78.34893117896286,78.85855865478516,80113600
2020-02-18,76.53126412045305,77.59662873916865,76.34925482708518,77.41461944580078,152531200
2020-02-19,77.65728500864738,78.76632988761132,77.65728500864738,78.53578186035156,93984000
2020-02-20,78.29553354521413,78.78574250032466,77.22288901629881,77.73008728027344,100566000
2020-02-21,77.32239667498202,77.76650347779221,75.3518440007245,75.97067260742188,129554000
2020-02-24,72.13876947323553,73.81810418195764,70.19005719516358,72.36203002929688,222195200
2020-02-25,73.03425000192122,73.4176795737371,69.43774534651452,69.91096496582031,230673600
2020-02-26,69.53482499231708,72.28923357582319,69.5275449173606,71.02001953125,198054800
2020-02-27,68.21706677109698,69.4061923618355,66.24165620285358,66.37755584716797,320605600
2020-02-28,62.43160376696,67.56426328843753,62.21561589566721,66.33872985839844,426510000
