Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume
Date,,,,,
2021-01-04,214.67108011672624,215.12448267035043,207.2237201668687,210.00201416015625,37130100
2021-01-05,209.5871775991694,210.8026884948784,208.0822733662966,210.20457458496094,23823000
2021-01-06,204.6769586619817,208.84439971467242,204.45508551109228,204.75413513183594,35930700
2021-01-07,206.48091954701593,211.59374676648795,206.1625868380979,210.58082580566406,27694500
2021-01-08,210.9570559155459,212.78996405087463,209.36533346109607,211.86386108398438,22956200
2021-01-11,210.75445269292996,211.1789158833176,209.07589772728036,209.80906677246094,23031300
2021-01-12,208.85405350778225,209.4328697056975,205.78636593059068,207.33949279785156,23249300
2021-01-13,206.46164808437925,209.10487249439277,206.37481534806392,208.69970703125,20087100
2021-01-14,208.2848838495633,209.78014669114557,205.22683795440696,205.4969482421875,29480800
2021-01-15,205.97931492801197,206.93434258903514,204.5419305865932,205.14002990722656,31746500
2021-01-19,206.20115613666417,209.31708059671112,205.1207150230666,208.79615783691406,30480900
2021-01-20,210.01164538751647,217.81593324197758,209.61612152485435,216.41714477539062,37777300
2021-01-21,216.76446409311393,218.30796418338835,214.56498603241292,217.02493286132812,30709400
2021-01-22,219.06040382451215,221.94481374827697,217.82560971130675,217.97030639648438,30172700
2021-01-25,221.02836523771916,221.66506012946064,216.3014201273162,221.42388916015625,33152100
2021-01-26,223.67159741419584,225.90965628548417,221.95446134366796,224.125,49169600
2021-01-27,229.59474371719836,231.94857453738325,222.01232848295177,224.6748504638672,69870600
2021-01-28,227.28913991464296,234.07086552904022,226.787500240888,230.49188232421875,49111200
2021-01-29,227.65574104136587,229.61404802749493,223.17960868451274,223.76806640625,42503100
2021-02-01,226.75853744392776,233.93578618771707,224.2214147225328,231.18643188476562,33314200
2021-02-02,232.77821444261426,233.7525398256425,230.26038902161145,231.05142211914062,25916300
2021-02-03,231.10932373679375,236.43436814545282,230.8102593698669,234.41818237304688,27158100
2021-02-04,234.09015750462424,234.64967583453253,231.88102351930485,233.46310424804688,25296100
2021-02-05,233.67533215612235,234.68825300082415,231.92925698720768,233.64639282226562,18054800
2021-02-08,234.56282290725537,235.07410406263224,232.30546670579093,233.90684509277344,22211900
2021-02-09,233.32807212451993,236.1160077909551,232.855386470844,235.16098022460938,23565000
2021-02-10,236.34754106148685,237.23504842887988,232.38268988590397,234.24453735351562,22186700
2021-02-11,236.1353121430884,236.49224045800057,233.5981889016559,235.85556030273438,15751100
2021-02-12,235.31532862001077,236.63695552738434,234.1577109235517,236.33790588378906,16561100
2021-02-16,236.3764453916313,237.4376033476101,234.34096219963934,235.09341430664062,26728500
2021-02-17,233.33368412074378,236.22472264095413,232.96625524373655,236.1183624267578,21653500
2021-02-18,233.7977910115024,235.85729003006736,232.8888973325426,235.721923828125,16925600
2021-02-19,235.68323559527133,235.7895957994359,232.23137558595567,232.9952392578125,25262600
2021-02-22,229.56273767902795,230.05585424921347,224.70886718440133,226.74903869628906,36446900
2021-02-23,222.70738951317625,227.05846512140025,221.16033450650593,225.5500946044922,30228700
2021-02-24,222.39795987985408,227.4162024880287,221.42139049950268,226.7877197265625,26339700
2021-02-25,224.39941639910325,226.82634374335998,220.33841649981142,221.41168212890625,39542200
2021-02-26,223.86765375241166,227.58056773813183,221.9435062853108,224.6895294189453,37819200
2021-03-01,228.09302745735494,229.6110763466161,225.43403703032263,229.09861755371094,25324000
2021-03-02,229.16630164142225,229.4467125406438,225.72411990536094,226.13021850585938,22812500
2021-03-03,224.47680916743502,225.84981335833936,219.73896284284643,220.02903747558594,34029500
2021-03-04,219.2361494443076,224.7958558426687,216.8382132793173,219.22647094726562,44727800
2021-03-05,221.92415279805,225.55004839538876,218.9654243512307,223.93531799316406,41872800
2021-03-08,223.7129190101345,225.64672999454348,219.6132491656239,219.86463928222656,35267400
2021-03-09,225.17300366397794,227.59026790889763,224.0030412777604,226.043212890625,33080500
2021-03-10,229.1566089983526,229.1566089983526,224.3607511116063,224.72817993164062,29746800
2021-03-11,227.18416507754895,231.2548297284497,226.5556675332269,229.2823486328125,29907600
2021-03-12,226.2655769704919,228.01568852154853,225.51139177337745,227.947998046875,22653700
2021-03-15,227.18413770439608,227.40652185294732,224.1383763269152,227.03909301757812,26034900
