Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2020-01-02,71.72100391407992,72.77658292273667,71.46679725362982,72.71605682373047,135480400,151.5668495220527,153.42826088554256,151.1372952944172,153.32325744628906,22622100
2020-01-03,71.94133580542943,72.7717522953066,71.78396939069293,72.00912475585938,146322800,151.12776374356721,152.68370535175205,150.87956583671692,151.41412353515625,21116200
2020-01-06,71.1278883899667,72.62166912803592,70.87609762256045,72.58293151855469,118387200,149.94405466189505,151.87229267766048,149.39994205440817,151.8054656982422,20813700
2020-01-07,72.59259363206662,72.84922374466596,72.02123070618616,72.24154663085938,108872000,152.0823464607139,152.41643776412104,150.17320335916705,150.42138671875,21634100
2020-01-08,71.94373641368738,73.70625595472642,71.94373641368738,73.40362548828125,132079200,151.71001553116633,153.4950738351807,150.7745396996867,152.81732177734375,27746500
2020-01-09,74.38415834268419,75.15647202012606,74.13237506994084,74.9627914428711,170108400,154.48782810310033,154.85056988722462,153.7146276185013,154.72647094726562,21385000
2020-01-10,75.19763610714092,75.69879404161257,74.62868922900458,75.13226318359375,140644800,155.42331996085537,155.8051426887704,153.85780890583482,154.0105438232422,20725900
2020-01-13,75.44943665950792,76.76406209011934,75.33080045122755,76.7374267578125,121532000,154.41150429433944,155.89109325953706,153.93421847108908,155.86245727539062,21626500
2020-01-14,76.67446681398555,76.88509646087522,75.57773417210761,75.70120239257812,161954400,155.96741840076578,156.1678848009803,154.37328593172,154.76466369628906,23477400
2020-01-15,75.50027617412253,76.38395596192076,74.94343149157285,75.37680053710938,121923600,155.23239486645008,156.49243609343492,155.18467794940653,155.76695251464844,21417900
2020-01-16,75.92154348740286,76.4323877854954,75.55838676505513,76.32101440429688,108829200,156.8838421156046,158.68798178601898,156.57837222412832,158.62115478515625,23865400
2020-01-17,76.57035717765905,77.16835535095495,76.26288724448004,77.16593933105469,137816400,159.81436645335992,159.8620979437721,157.91476383355945,159.5089111328125,34371700
2020-01-21,76.79310129941813,77.23614913553814,76.5049964495613,76.64299774169922,110843200,159.1079578324649,160.54937000352857,158.86931497665745,158.93614196777344,29517200
2020-01-22,77.12961824131806,77.47098633963294,76.82214830621916,76.91657257080078,101832400,159.79522306250607,159.88114554574426,158.15335933042016,158.17245483398438,24138800
2020-01-23,76.96984634011159,77.3668937772688,76.42026453610515,77.28700256347656,104472000,158.64022699310001,159.22251614329255,157.76202303250872,159.14614868164062,19680800
2020-01-24,77.53396093858308,78.27963949778808,76.87301303795586,77.06427764892578,146537600,159.90025784938828,159.91935335669822,156.97927155195472,157.54246520996094,24918100
2020-01-27,75.06690438729518,75.48090092368226,73.81280512269632,74.79817199707031,161940000,153.82921208935088,155.95791730790526,152.9223719554986,154.9078826904297,32078100
2020-01-28,75.68185845150586,77.08606141566885,75.5825947326495,76.91416931152344,162234000,156.33967216240634,158.22971908653386,155.66193475764177,157.943359375,24899900
2020-01-29,78.5507976259598,79.37395133976464,77.80753513570895,78.52416229248047,216229200,160.21527757735336,161.08394114088054,158.16295467202275,160.40618896484375,34754500
2020-01-30,77.60417282727558,78.46364078408652,77.17080373518314,78.4103775024414,126743200,166.14318767976638,166.14318767976638,163.03127498323494,164.93087768554688,51597500
2020-01-31,77.69857485901245,78.12225762194025,74.63837863048332,74.93374633789062,199588400,164.386735306438,164.56809162420643,161.876208045128,162.49667358398438,36142700
2020-02-03,73.67235689497693,75.89729664814452,73.1687830558844,74.72793579101562,173788400,162.6876216573005,166.57273484253994,162.6589856761577,166.45819091796875,30107000
