Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","12.237.001,47","0,12","12.237.001,47","559.465,00","21,87","Schweden","Nasdaq Omx Nordic","SEK"
"SCHP","SCHINDLER HOLDING PAR AG","Industrie","Aktien","12.104.037,92","0,12","12.104.037,92","37.713,00","320,95","Schweiz","SIX Swiss Exchange","CHF"
"MT","ARCELORMITTAL SA","Materialien","Aktien","12.058.105,74","0,12","12.058.105,74","427.138,00","28,23","Frankreich","Euronext Amsterdam","EUR"
"STMN","STRAUMANN HOLDING AG","Gesundheitsversorgung","Aktien","11.895.117,41","0,12","11.895.117,41","105.831,00","112,40","Schweiz","SIX Swiss Exchange","CHF"
"UPM","UPM-KYMMENE","Materialien","Aktien","11.825.834,10","0,12","11.825.834,10","504.085,00","23,46","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","11.804.538,46","0,12","11.804.538,46","143.123,00","82,48","Schweiz","SIX Swiss Exchange","CHF"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","11.741.234,05","0,12","11.741.234,05","47.621,00","246,56","Schweiz","SIX Swiss Exchange","CHF"
"EPI A","EPIROC CLASS A","Industrie","Aktien","11.717.276,34","0,12","11.717.276,34","600.483,00","19,51","Schweden","Nasdaq Omx Nordic","SEK"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Versorger","Aktien","11.445.744,40","0,11","11.445.744,40","3.012.038,00","3,80","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"SY1","SYMRISE AG","Materialien","Aktien","11.361.369,84","0,11","11.361.369,84","127.284,00","89,26","Deutschland","Xetra","EUR"
"BAER","JULIUS BAER GRUPPE AG","Financials","Aktien","11.350.467,88","0,11","11.350.467,88","193.783,00","58,57","Schweiz","SIX Swiss Exchange","CHF"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Versorger","Aktien","11.302.479,31","0,11","11.302.479,31","1.340.109,00","8,43","Italien","Borsa Italiana","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Aktien","11.280.317,76","0,11","11.280.317,76","929.952,00","12,13","Irland","Irish Stock Exchange - All Market","EUR"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","11.084.170,93","0,11","11.084.170,93","58.236,00","190,33","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BAMI","BANCO BPM","Financials","Aktien","11.029.119,64","0,11","11.029.119,64","1.066.646,00","10,34","Italien","Borsa Italiana","EUR"
"SN.","SMITH AND NEPHEW PLC","Gesundheitsversorgung","Aktien","10.895.614,02","0,11","10.895.614,02","841.017,00","12,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"MONC","MONCLER","Zyklische Konsumgüter ","Aktien","10.862.866,40","0,11","10.862.866,40","217.780,00","49,88","Italien","Borsa Italiana","EUR"
"CARL B","CARLSBERG AS CL B","Nichtzyklische Konsumgüter","Aktien","10.852.854,80","0,11","10.852.854,80","91.461,00","118,66","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"KOG","KONGSBERG GRUPPEN","Industrie","Aktien","10.792.329,74","0,11","10.792.329,74","405.825,00","26,59","Norwegen","Oslo Bors Asa","NOK"
"HEN3","HENKEL & KGAA PREF AG","Nichtzyklische Konsumgüter","Aktien","10.738.650,24","0,11","10.738.650,24","158.668,00","67,68","Deutschland","Xetra","EUR"
"ENX","EURONEXT NV","Financials","Aktien","10.719.088,80","0,11","10.719.088,80","71.556,00","149,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","10.590.234,29","0,10","10.590.234,29","75.562,00","140,15","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ALFA","ALFA LAVAL","Industrie","Aktien","10.577.747,66","0,10","10.577.747,66","277.644,00","38,10","Schweden","Nasdaq Omx Nordic","SEK"
"WRT1V","WARTSILA","Industrie","Aktien","10.398.154,21","0,10","10.398.154,21","481.619,00","21,59","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"FBK","FINECOBANK BANCA FINECO","Financials","Aktien","10.383.201,61","0,10","10.383.201,61","555.103,00","18,70","Italien","Borsa Italiana","EUR"
"ABN","ABN AMRO BANK NV","Financials","Aktien","10.324.223,10","0,10","10.324.223,10","428.391,00","24,10","Niederlande","Euronext Amsterdam","EUR"
"KRX","KINGSPAN GROUP PLC","Industrie","Aktien","10.267.798,50","0,10","10.267.798,50","143.205,00","71,70","Irland","Irish Stock Exchange - All Market","EUR"
"EVO","EVOLUTION","Zyklische Konsumgüter ","Aktien","10.223.359,93","0,10","10.223.359,93","139.175,00","73,46","Schweden","Nasdaq Omx Nordic","SEK"
"BEI","BEIERSDORF AG","Nichtzyklische Konsumgüter","Aktien","10.107.406,00","0,10","10.107.406,00","93.935,00","107,60","Deutschland","Xetra","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","10.009.177,50","0,10","10.009.177,50","172.275,00","58,10","Spanien","Bolsa De Madrid","EUR"
"EQT","EQT","Financials","Aktien","9.992.017,63","0,10","9.992.017,63","337.506,00","29,61","Schweden","Nasdaq Omx Nordic","SEK"
"1CO","COVESTRO V AG","Materialien","Aktien","9.948.840,00","0,10","9.948.840,00","165.814,00","60,00","Deutschland","Xetra","EUR"
"AKZA","AKZO NOBEL NV","Materialien","Aktien","9.730.213,50","0,10","9.730.213,50","163.533,00","59,50","Niederlande","Euronext Amsterdam","EUR"
"SPSN","SWISS PRIME SITE AG","Immobilien","Aktien","9.668.667,94","0,10","9.668.667,94","78.158,00","123,71","Schweiz","SIX Swiss Exchange","CHF"
"CCH","COCA COLA HBC AG","Nichtzyklische Konsumgüter","Aktien","9.630.221,37","0,09","9.630.221,37","210.570,00","45,73","Vereinigtes Königreich","London Stock Exchange","GBP"
