Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2618","EVA AIRWAYS CORP","Industrie","Aktien","899.813,43","0,00","899.813,43","689.000,00","1,31","Taiwan","Taiwan Stock Exchange","TWD"
"9435","HIKARI TSUSHIN INC","Industrie","Aktien","898.558,00","0,00","898.558,00","3.200,00","280,80","Japan","Tokyo Stock Exchange","JPY"
"9626","BILIBILI INC","Kommunikation","Aktien","898.697,58","0,00","898.697,58","41.040,00","21,90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"T","TELUS CORP","Kommunikation","Aktien","896.025,58","0,00","896.025,58","54.399,00","16,47","Kanada","Toronto Stock Exchange","CAD"
"1519","FORTUNE ELECTRIC LTD","Industrie","Aktien","891.927,97","0,00","891.927,97","45.000,00","19,82","Taiwan","Taiwan Stock Exchange","TWD"
"2356","INVENTEC CORP","IT","Aktien","887.101,19","0,00","887.101,19","617.000,00","1,44","Taiwan","Taiwan Stock Exchange","TWD"
"5871","CHAILEASE HOLDING LTD","Financials","Aktien","881.700,50","0,00","881.700,50","202.805,00","4,35","Taiwan","Taiwan Stock Exchange","TWD"
"EDPR","EDP RENOVAVEIS SA","Versorger","Aktien","876.434,71","0,00","876.434,71","73.409,00","11,94","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"3653","JENTECH PRECISION INDUSTRIAL LTD","IT","Aktien","871.901,96","0,00","871.901,96","18.000,00","48,44","Taiwan","Taiwan Stock Exchange","TWD"
"1038","CHEUNG KONG INFRASTRUCTURE HOLDING","Versorger","Aktien","869.875,80","0,00","869.875,80","133.500,00","6,52","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"3533","LOTES LTD","IT","Aktien","859.578,26","0,00","859.578,26","18.000,00","47,75","Taiwan","Taiwan Stock Exchange","TWD"
"SIGN","SIG GROUP N AG","Materialien","Aktien","856.840,33","0,00","856.840,33","45.520,00","18,82","Schweiz","SIX Swiss Exchange","CHF"
"SAHOL.E","HACI OMER SABANCI HOLDING A","Financials","Aktien","855.648,00","0,00","855.648,00","378.163,00","2,26","Türkei","Istanbul Stock Exchange","TRY"
"9023","TOKYO METRO LTD","Industrie","Aktien","852.019,81","0,00","852.019,81","76.700,00","11,11","Japan","Tokyo Stock Exchange","JPY"
"3800","GCL TECHNOLOGY HOLDINGS LTD","IT","Aktien","845.644,59","0,00","845.644,59","5.397.000,00","0,16","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"QAR","QAR CASH","Cash und/oder Derivate","Geldmarkt","836.034,00","0,00","836.034,00","3.044.000,00","27,46","Qatar","-","QAR"
"INPST","INPOST SA","Industrie","Aktien","834.935,57","0,00","834.935,57","55.009,00","15,18","Niederlande","Euronext Amsterdam","EUR"
"LOTB","LOTUS BAKERIES NV","Nichtzyklische Konsumgüter","Aktien","828.016,74","0,00","828.016,74","97,00","8.536,21","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"CDB","CELCOMDIGI","Kommunikation","Aktien","828.067,44","0,00","828.067,44","917.020,00","0,90","Malaysia","Bursa Malaysia","MYR"
"051900","LG H & H LTD","Nichtzyklische Konsumgüter","Aktien","829.108,55","0,00","829.108,55","3.462,00","239,49","Korea","Korea Exchange (Stock Market)","KRW"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrie","Aktien","826.037,24","0,00","826.037,24","122.800,00","6,73","Taiwan","Taiwan Stock Exchange","TWD"
"SPX","SPIRAX GROUP PLC","Industrie","Aktien","820.284,09","0,00","820.284,09","9.828,00","83,46","Vereinigtes Königreich","London Stock Exchange","GBP"
"011070","LG INNOTEK LTD","IT","Aktien","817.797,65","0,00","817.797,65","7.153,00","114,33","Korea","Korea Exchange (Stock Market)","KRW"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Aktien","817.975,03","0,00","817.975,03","414.800,00","1,97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"086520","ECOPRO LTD","Industrie","Aktien","813.293,89","0,00","813.293,89","23.707,00","34,31","Korea","Korea Exchange (Kosdaq)","KRW"
"TCELL.E","TURKCELL ILETISIM HIZMETLERI A","Kommunikation","Aktien","810.934,10","0,00","810.934,10","352.583,00","2,30","Türkei","Istanbul Stock Exchange","TRY"
"AMMN","AMMAN MINERAL INTERNASIONAL","Materialien","Aktien","806.862,28","0,00","806.862,28","1.561.700,00","0,52","Indonesien","Indonesia Stock Exchange","IDR"
"270","GUANGDONG INVESTMENT LTD","Versorger","Aktien","807.197,45","0,00","807.197,45","950.000,00","0,85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SALM","SALMAR","Nichtzyklische Konsumgüter","Aktien","789.317,52","0,00","789.317,52","19.417,00","40,65","Norwegen","Oslo Bors Asa","NOK"
"BRPT","BARITO PACIFIC","Materialien","Aktien","787.810,59","0,00","787.810,59","7.094.672,00","0,11","Indonesien","Indonesia Stock Exchange","IDR"
"4938","PEGATRON CORP","IT","Aktien","788.716,97","0,00","788.716,97","288.000,00","2,74","Taiwan","Taiwan Stock Exchange","TWD"
"AED","AED CASH","Cash und/oder Derivate","Geldmarkt","784.106,63","0,00","784.106,63","2.880.024,00","27,23","Ver. Arabische Emirate","-","AED"
"BZ","KANZHUN AMERICAN DEPOSITORY SHARES","Kommunikation","Aktien","778.766,00","0,00","778.766,00","42.050,00","18,52","China","NASDAQ","USD"
"COMI","COMMERCIAL INTERNATIONAL BANK EGYP","Financials","Aktien","780.078,39","0,00","780.078,39","454.510,00","1,72","Ägypten","Egyptian Exchange","EGP"
"3443","GLOBAL UNICHIP CORP","IT","Aktien","770.231,41","0,00","770.231,41","18.000,00","42,79","Taiwan","Taiwan Stock Exchange","TWD"
"1347","HUA HONG SEMICONDUCTOR LTD","IT","Aktien","771.133,76","0,00","771.133,76","171.000,00","4,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"003670","POSCO FUTURE M LTD","Industrie","Aktien","767.109,06","0,00","767.109,06","7.593,00","101,03","Korea","Korea Exchange (Stock Market)","KRW"
"763","ZTE CORP H","IT","Aktien","761.783,44","0,00","761.783,44","239.200,00","3,18","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"IVN","IVANHOE MINES LTD CLASS A","Materialien","Aktien","763.310,29","0,00","763.310,29","97.982,00","7,79","Kanada","Toronto Stock Exchange","CAD"
"IBE.D","DERECHOS IBERDROLA S.A. SA","Versorger","Aktien","761.937,77","0,00","761.937,77","1.638.810,00","0,46","Spanien","Bolsa De Madrid","EUR"
"011790","SKC LTD","Materialien","Aktien","755.901,66","0,00","755.901,66","10.029,00","75,37","Korea","Korea Exchange (Stock Market)","KRW"
"272210","HANWHA SYSTEMS LTD","Industrie","Aktien","752.855,47","0,00","752.855,47","19.111,00","39,39","Korea","Korea Exchange (Stock Market)","KRW"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Nichtzyklische Konsumgüter","Aktien","736.856,71","0,00","736.856,71","391.991,00","1,88","Mexiko","Bolsa Mexicana De Valores","MXN"
"7201","NISSAN MOTOR LTD","Zyklische Konsumgüter ","Aktien","733.548,40","0,00","733.548,40","351.200,00","2,09","Japan","Tokyo Stock Exchange","JPY"
"ADNOCDIST","ABU DHABI NATIONAL OIL COMPANY FOR","Zyklische Konsumgüter ","Aktien","734.262,70","0,00","734.262,70","732.866,00","1,00","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
