Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","1.017.990.634,36","4,73","1.017.990.634,36","6.172.633,00","164,92","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","899.579.809,44","4,18","899.579.809,44","1.787.292,00","503,32","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","803.689.530,04","3,73","803.689.530,04","3.806.069,00","211,16","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","545.011.491,16","2,53","545.011.491,16","2.422.058,00","225,02","Vereinigte Staaten","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","398.467.743,48","1,85","398.467.743,48","555.348,00","717,51","Vereinigte Staaten","NASDAQ","USD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Aktien","389.466.783,94","1,81","389.466.783,94","39.387.822,00","9,89","Irland","London Stock Exchange","USD"
"AVGO","BROADCOM INC","IT","Aktien","311.852.076,60","1,45","311.852.076,60","1.136.570,00","274,38","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","261.898.957,40","1,22","261.898.957,40","1.453.460,00","180,19","Vereinigte Staaten","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","233.541.010,54","1,08","233.541.010,54","6.202.000,00","37,66","Taiwan","Taiwan Stock Exchange","TWD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","230.997.616,61","1,07","230.997.616,61","736.811,00","313,51","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","230.506.111,47","1,07","230.506.111,47","1.271.337,00","181,31","Vereinigte Staaten","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","203.771.287,86","0,95","203.771.287,86","710.351,00","286,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","162.767.437,14","0,76","162.767.437,14","342.049,00","475,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","162.184.819,18","0,75","162.184.819,18","204.518,00","793,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Aktien","150.514.170,07","0,70","150.514.170,07","432.599,00","347,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","134.570.243,69","0,62","134.570.243,69","108.079,00","1.245,11","Vereinigte Staaten","NASDAQ","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","126.876.269,66","0,59","126.876.269,66","1.099.162,00","115,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Aktien","114.057.815,80","0,53","114.057.815,80","207.310,00","550,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","107.462.106,84","0,50","107.462.106,84","110.748,00","970,33","Vereinigte Staaten","NASDAQ","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","105.098.446,40","0,49","105.098.446,40","1.113.331,00","94,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Aktien","101.203.305,30","0,47","101.203.305,30","2.742.637,00","36,90","Deutschland","Xetra","USD"
"700","TENCENT HOLDINGS LTD","Kommunikation","Aktien","100.971.115,92","0,47","100.971.115,92","1.596.100,00","63,26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ORCL","ORACLE CORP","IT","Aktien","97.184.959,52","0,45","97.184.959,52","421.517,00","230,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","94.579.476,90","0,44","94.579.476,90","602.801,00","156,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","93.666.567,35","0,43","93.666.567,35","253.105,00","370,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","92.945.802,15","0,43","92.945.802,15","591.823,00","157,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","86.106.556,35","0,40","86.106.556,35","447.423,00","192,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Aktien","84.053.172,33","0,39","84.053.172,33","17.481.941,00","4,81","Irland","London Stock Exchange","USD"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","82.913.833,41","0,39","82.913.833,41","1.774.317,00","46,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aktien","81.231.993,60","0,38","81.231.993,60","268.474,00","302,57","Deutschland","Xetra","EUR"
"ASML","ASML HOLDING NV","IT","Aktien","79.748.725,05","0,37","79.748.725,05","99.721,00","799,71","Niederlande","Euronext Amsterdam","EUR"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Aktien","78.712.866,34","0,37","78.712.866,34","12.681.306,00","6,21","Irland","London Stock Exchange","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","IT","Aktien","77.710.511,20","0,36","77.710.511,20","546.872,00","142,10","Vereinigte Staaten","NASDAQ","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","71.253.635,61","0,33","71.253.635,61","1.019.803,00","69,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","70.346.789,01","0,33","70.346.789,01","391.011,00","179,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","70.282.071,50","0,33","70.282.071,50","231.115,00","304,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrie","Aktien","68.573.629,08","0,32","68.573.629,08","268.474,00","255,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WFC","WELLS FARGO","Financials","Aktien","68.563.470,95","0,32","68.563.470,95","830.569,00","82,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","68.075.095,95","0,32","68.075.095,95","1.001.841,00","67,95","Vereinigte Staaten","NASDAQ","USD"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","65.842.667,83","0,31","65.842.667,83","681.047,00","96,68","Schweiz","SIX Swiss Exchange","CHF"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","65.747.789,19","0,31","65.747.789,19","231.841,00","283,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aktien","65.220.726,09","0,30","65.220.726,09","419.939,00","155,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","62.374.102,44","0,29","62.374.102,44","516.176,00","120,84","Schweiz","SIX Swiss Exchange","CHF"
"CRM","SALESFORCE INC","IT","Aktien","62.234.354,71","0,29","62.234.354,71","241.153,00","258,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","60.199.704,48","0,28","60.199.704,48","411.144,00","146,42","Vereinigte Staaten","NASDAQ","USD"
"ABT","ABBOTT LABORATORIES","Gesundheitsversorgung","Aktien","58.283.397,48","0,27","58.283.397,48","441.474,00","132,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","58.024.191,37","0,27","58.024.191,37","179.936,00","322,47","Schweiz","SIX Swiss Exchange","CHF"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","57.736.585,46","0,27","57.736.585,46","4.695.269,00","12,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"9988","ALIBABA GROUP HOLDING LTD","Zyklische Konsumgüter ","Aktien","57.533.480,51","0,27","57.533.480,51","4.297.220,00","13,39","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LIN","LINDE PLC","Materialien","Aktien","56.633.654,43","0,26","56.633.654,43","120.803,00","468,81","Vereinigte Staaten","NASDAQ","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","55.933.533,11","0,26","55.933.533,11","813.040,00","68,80","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SHEL","SHELL PLC","Energie","Aktien","55.847.229,43","0,26","55.847.229,43","1.547.585,00","36,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","54.575.363,55","0,25","54.575.363,55","386.696,00","141,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","54.259.417,29","0,25","54.259.417,29","180.919,00","299,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","54.018.406,08","0,25","54.018.406,08","1.187.240,00","45,50","Korea","Korea Exchange (Stock Market)","KRW"
"DIS","WALT DISNEY","Kommunikation","Aktien","53.900.504,46","0,25","53.900.504,46","449.658,00","119,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aktien","53.789.715,90","0,25","53.789.715,90","71.921,00","747,90","Vereinigte Staaten","NASDAQ","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","53.582.544,55","0,25","53.582.544,55","76.009,00","704,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","52.479.788,16","0,24","52.479.788,16","629.556,00","83,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","51.867.591,51","0,24","51.867.591,51","439.773,00","117,94","Australien","Asx - All Markets","AUD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","51.382.215,00","0,24","51.382.215,00","232.236,00","221,25","Vereinigte Staaten","NASDAQ","USD"
"RTX","RTX CORP","Industrie","Aktien","49.779.383,45","0,23","49.779.383,45","338.935,00","146,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SIE","SIEMENS N AG","Industrie","Aktien","49.610.458,79","0,23","49.610.458,79","190.207,00","260,82","Deutschland","Xetra","EUR"
"AXP","AMERICAN EXPRESS","Financials","Aktien","48.563.593,11","0,23","48.563.593,11","152.013,00","319,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","IT","Aktien","48.458.884,82","0,23","48.458.884,82","51.619,00","938,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","48.127.092,96","0,22","48.127.092,96","118.563,00","405,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Kommunikation","Aktien","47.846.479,11","0,22","47.846.479,11","1.774.063,00","26,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","47.726.350,80","0,22","47.726.350,80","8.348,00","5.717,10","Vereinigte Staaten","NASDAQ","USD"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","46.894.253,96","0,22","46.894.253,96","46.894.254,00","100,00","Vereinigte Staaten","-","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","46.518.090,70","0,22","46.518.090,70","90.845,00","512,06","Vereinigte Staaten","NASDAQ","USD"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","46.131.341,12","0,21","46.131.341,12","350.301,00","131,69","Kanada","Toronto Stock Exchange","CAD"
"UBER","UBER TECHNOLOGIES INC","Industrie","Aktien","45.874.004,90","0,21","45.874.004,90","480.910,00","95,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","45.055.106,00","0,21","45.055.106,00","333.100,00","135,26","Vereinigte Staaten","NASDAQ","USD"
"QCOM","QUALCOMM INC","IT","Aktien","43.906.776,24","0,20","43.906.776,24","278.844,00","157,46","Vereinigte Staaten","NASDAQ","USD"
"MS","MORGAN STANLEY","Financials","Aktien","43.713.253,52","0,20","43.713.253,52","307.234,00","142,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","43.605.896,88","0,20","43.605.896,88","155.148,00","281,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","43.032.541,18","0,20","43.032.541,18","1.033.939,00","41,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrie","Aktien","42.697.866,36","0,20","42.697.866,36","188.229,00","226,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","42.624.150,90","0,20","42.624.150,90","80.870,00","527,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Gesundheitsversorgung","Aktien","41.615.667,14","0,19","41.615.667,14","95.699,00","434,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","41.594.791,57","0,19","41.594.791,57","210.149,00","197,93","Vereinigte Staaten","NASDAQ","USD"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","40.750.213,42","0,19","40.750.213,42","2.394.400,00","17,02","Japan","Tokyo Stock Exchange","JPY"
"C","CITIGROUP INC","Financials","Aktien","40.278.626,22","0,19","40.278.626,22","464.414,00","86,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","40.244.232,60","0,19","40.244.232,60","437.580,00","91,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","IT","Aktien","39.796.998,80","0,18","39.796.998,80","109.528,00","363,35","Vereinigte Staaten","NASDAQ","USD"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","39.325.054,81","0,18","39.325.054,81","68.956,00","570,29","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","39.298.585,15","0,18","39.298.585,15","2.884.800,00","13,62","Japan","Tokyo Stock Exchange","JPY"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","39.241.973,54","0,18","39.241.973,54","132.902,00","295,27","Vereinigte Staaten","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","38.554.972,81","0,18","38.554.972,81","163.417,00","235,93","Vereinigte Staaten","NASDAQ","USD"
"BLK","BLACKROCK INC","Financials","Aktien","38.492.403,24","0,18","38.492.403,24","34.941,00","1.101,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","38.380.080,00","0,18","38.380.080,00","371.900,00","103,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","38.171.803,91","0,18","38.171.803,91","630.609,00","60,53","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALV","ALLIANZ","Financials","Aktien","38.150.984,61","0,18","38.150.984,61","94.131,00","405,29","Deutschland","Xetra","EUR"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","38.028.839,96","0,18","38.028.839,96","1.556.700,00","24,43","Japan","Tokyo Stock Exchange","JPY"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","37.880.388,00","0,18","37.880.388,00","509.145,00","74,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","37.219.678,18","0,17","37.219.678,18","169.342,00","219,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industrie","Aktien","37.123.861,80","0,17","37.123.861,80","68.855,00","539,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","35.935.871,22","0,17","35.935.871,22","146.689,00","244,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","35.837.353,37","0,17","35.837.353,37","136.089,00","263,34","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","35.763.447,61","0,17","35.763.447,61","289.091,00","123,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrie","Aktien","35.593.554,62","0,17","35.593.554,62","98.701,00","360,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","35.543.153,70","0,17","35.543.153,70","1.385.698,00","25,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","34.661.733,40","0,16","34.661.733,40","147.434,00","235,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","34.457.878,48","0,16","34.457.878,48","314.282,00","109,64","Vereinigte Staaten","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","34.156.994,63","0,16","34.156.994,63","304.935,00","112,01","Kanada","Toronto Stock Exchange","CAD"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","34.037.909,43","0,16","34.037.909,43","273.331,00","124,53","Vereinigte Staaten","NASDAQ","USD"
"TTE","TOTALENERGIES","Energie","Aktien","33.978.298,91","0,16","33.978.298,91","539.399,00","62,99","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DE","DEERE","Industrie","Aktien","33.552.094,39","0,16","33.552.094,39","65.479,00","512,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","33.529.779,78","0,16","33.529.779,78","86.093,00","389,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Kommunikation","Aktien","33.516.641,08","0,16","33.516.641,08","957.892,00","34,99","Vereinigte Staaten","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","33.200.602,80","0,15","33.200.602,80","326.360,00","101,73","Vereinigte Staaten","NASDAQ","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","33.099.070,14","0,15","33.099.070,14","147.678,00","224,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","33.034.111,00","0,15","33.034.111,00","161.260,00","204,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financials","Aktien","33.008.367,60","0,15","33.008.367,60","449.001,00","73,52","Kanada","Toronto Stock Exchange","CAD"
"SAN","BANCO SANTANDER SA","Financials","Aktien","32.695.406,51","0,15","32.695.406,51","3.876.917,00","8,43","Spanien","Bolsa De Madrid","EUR"
"KLAC","KLA CORP","IT","Aktien","32.224.386,74","0,15","32.224.386,74","34.853,00","924,58","Vereinigte Staaten","NASDAQ","USD"
"BHP","BHP GROUP LTD","Materialien","Aktien","32.091.192,37","0,15","32.091.192,37","1.240.321,00","25,87","Australien","Asx - All Markets","AUD"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","31.989.835,40","0,15","31.989.835,40","895.774,00","35,71","Deutschland","Xetra","EUR"
"PANW","PALO ALTO NETWORKS INC","IT","Aktien","31.891.904,10","0,15","31.891.904,10","170.190,00","187,39","Vereinigte Staaten","NASDAQ","USD"
"6501","HITACHI LTD","Industrie","Aktien","31.853.398,03","0,15","31.853.398,03","1.161.900,00","27,41","Japan","Tokyo Stock Exchange","JPY"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","31.637.615,60","0,15","31.637.615,60","2.371.025,00","13,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"COP","CONOCOPHILLIPS","Energie","Aktien","31.423.851,87","0,15","31.423.851,87","328.667,00","95,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","IT","Aktien","31.158.627,23","0,14","31.158.627,23","127.347,00","244,68","Vereinigte Staaten","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","30.900.028,10","0,14","30.900.028,10","65.906,00","468,85","Vereinigte Staaten","NASDAQ","USD"
"1810","XIAOMI CORP","IT","Aktien","30.897.403,82","0,14","30.897.403,82","4.229.200,00","7,31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BX","BLACKSTONE INC","Financials","Aktien","30.819.204,00","0,14","30.819.204,00","190.242,00","162,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","IT","Aktien","30.094.084,02","0,14","30.094.084,02","277.186,00","108,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industrie","Aktien","30.072.914,73","0,14","30.072.914,73","92.013,00","326,83","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrie","Aktien","30.038.315,15","0,14","30.038.315,15","99.251,00","302,65","Vereinigte Staaten","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","IT","Aktien","30.010.003,68","0,14","30.010.003,68","303.868,00","98,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBE","IBERDROLA SA","Versorger","Aktien","29.989.748,16","0,14","29.989.748,16","1.646.646,00","18,21","Spanien","Bolsa De Madrid","EUR"
"AIR","AIRBUS GROUP","Industrie","Aktien","29.967.981,94","0,14","29.967.981,94","139.875,00","214,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aktien","29.920.827,65","0,14","29.920.827,65","62.537,00","478,45","Vereinigte Staaten","NASDAQ","USD"
"000660","SK HYNIX INC","IT","Aktien","29.639.219,76","0,14","29.639.219,76","138.469,00","214,05","Korea","Korea Exchange (Stock Market)","KRW"
"UBSG","UBS GROUP AG","Financials","Aktien","29.408.202,07","0,14","29.408.202,07","822.882,00","35,74","Schweiz","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrie","Aktien","28.773.654,40","0,13","28.773.654,40","481.992,00","59,70","Schweiz","SIX Swiss Exchange","CHF"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Aktien","28.140.031,85","0,13","28.140.031,85","26.455.000,00","1,06","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SPOT","SPOTIFY TECHNOLOGY SA","Kommunikation","Aktien","28.022.062,25","0,13","28.022.062,25","39.515,00","709,15","Schweden","New York Stock Exchange Inc.","USD"
"MSTR","MICROSTRATEGY INC CLASS A","IT","Aktien","27.738.806,82","0,13","27.738.806,82","63.829,00","434,58","Vereinigte Staaten","NASDAQ","USD"
"CB","CHUBB LTD","Financials","Aktien","27.714.633,75","0,13","27.714.633,75","99.675,00","278,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","27.661.336,28","0,13","27.661.336,28","135.096,00","204,75","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TMUS","T MOBILE US INC","Kommunikation","Aktien","27.632.298,72","0,13","27.632.298,72","121.322,00","227,76","Vereinigte Staaten","NASDAQ","USD"
"UCG","UNICREDIT","Financials","Aktien","27.628.644,76","0,13","27.628.644,76","407.790,00","67,75","Italien","Borsa Italiana","EUR"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","27.498.615,04","0,13","27.498.615,04","305.812,00","89,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","27.193.569,26","0,13","27.193.569,26","286.429,00","94,94","Vereinigte Staaten","NASDAQ","USD"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","26.880.941,66","0,12","26.880.941,66","276.863,00","97,09","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BATS","BRITISH AMERICAN TOBACCO","Nichtzyklische Konsumgüter","Aktien","26.495.671,72","0,12","26.495.671,72","517.910,00","51,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"MELI","MERCADOLIBRE INC","Zyklische Konsumgüter ","Aktien","26.481.595,40","0,12","26.481.595,40","11.092,00","2.387,45","Vereinigte Staaten","NASDAQ","USD"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","26.264.225,61","0,12","26.264.225,61","60.079,00","437,16","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","26.156.866,68","0,12","26.156.866,68","119.307,00","219,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","26.150.800,14","0,12","26.150.800,14","239.542,00","109,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","25.539.867,06","0,12","25.539.867,06","120.619,00","211,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","25.504.192,20","0,12","25.504.192,20","441.249,00","57,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","25.491.450,26","0,12","25.491.450,26","54.526,00","467,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CEG","CONSTELLATION ENERGY CORP","Versorger","Aktien","25.490.405,04","0,12","25.490.405,04","79.276,00","321,54","Vereinigte Staaten","NASDAQ","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","25.381.414,70","0,12","25.381.414,70","36.511,00","695,17","Schweiz","SIX Swiss Exchange","CHF"
"INTC","INTEL CORPORATION CORP","IT","Aktien","25.181.861,10","0,12","25.181.861,10","1.074.770,00","23,43","Vereinigte Staaten","NASDAQ","USD"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","25.161.883,91","0,12","25.161.883,91","134.707,00","186,79","Schweiz","SIX Swiss Exchange","CHF"
"SO","SOUTHERN","Versorger","Aktien","25.162.471,62","0,12","25.162.471,62","271.557,00","92,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REL","RELX PLC","Industrie","Aktien","25.066.716,62","0,12","25.066.716,62","465.756,00","53,82","Vereinigtes Königreich","London Stock Exchange","GBP"
"TT","TRANE TECHNOLOGIES PLC","Industrie","Aktien","25.051.687,50","0,12","25.051.687,50","57.261,00","437,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
