Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2000-01-03,72.03494262695312,72.40577888243293,71.75681543534326,72.31306981856298,21200
2000-01-04,68.69744873046875,70.6443399900367,68.5120305152718,70.6443399900367,18800
2000-01-05,68.9755630493164,69.7172357702768,68.60472668883621,69.7172357702768,21000
2000-01-06,62.856746673583984,63.41300106892543,62.6713285418035,62.6713285418035,54800
2000-01-07,63.783843994140625,63.8765530697135,62.39320786054744,62.39320786054744,59800
2000-01-10,66.05523681640625,66.28700957716558,64.89637301260964,64.89637301260964,20700
2000-01-11,64.66458129882812,65.22083576161374,64.66458129882812,65.22083576161374,39300
2000-01-12,63.41301727294922,63.78385363127057,63.227599093788555,63.413017272949226,27700
2000-01-13,63.644798278808594,63.969280134563625,63.41302552469785,63.783861931275034,13000
2000-01-14,65.03543090820312,65.03543090820312,64.43282178360823,64.43282178360823,6800
2000-01-18,62.7640380859375,63.04216528572747,62.439556352849195,63.04216528572747,17000
2000-01-19,59.7973747253418,59.93643838749376,59.24112007673397,59.333829184835274,55900
2000-01-20,62.02237319946289,62.0223731994629,61.55882780933238,61.55882780933238,14200
2000-01-21,63.6911506652832,63.6911506652832,63.22760517281389,63.413023369801614,12000
2000-01-24,64.47915649414062,65.26718356847591,64.24738382521848,64.4328019603562,50500
2000-01-25,61.744232177734375,62.76403180829755,61.74423217773437,62.67132275097362,14800
2000-01-26,63.598411560058594,63.78382966956314,63.04215723154496,63.04215723154496,7900
2000-01-27,63.50569534301758,63.87653152020308,63.27392273227664,63.27392273227664,6700
2000-01-28,63.783843994140625,64.52551659872366,63.783843994140625,64.43280752315077,52300
2000-01-31,64.71092224121094,64.71092224121094,64.24737695295012,64.52550412590661,19600
2000-02-01,66.1943130493164,66.1943130493164,64.89638534246707,64.89638534246707,16500
2000-02-02,64.52552032470703,64.52552032470703,64.24739308192812,64.52552032470703,12700
2000-02-03,64.06196594238281,64.24738407825079,63.41300246684493,63.41300246684493,8300
2000-02-04,66.75054168701172,66.75054168701172,65.82345083024767,66.00886900160047,9100
2000-02-07,68.14116668701172,68.60471203862404,67.30678505410953,67.30678505410953,26700
2000-02-08,67.49221801757812,67.7703452896286,67.30679983621116,67.49221801757812,26500
2000-02-09,67.21407318115234,67.44584584729425,66.47240064949825,66.93594598178206,19300
2000-02-10,66.65782165527344,66.84323979617822,66.00885816210665,66.00885816210665,27500
2000-02-11,65.49895477294922,66.7505271571457,65.45260024020119,66.7505271571457,21200
2000-02-14,64.0156021118164,64.47914738416844,63.78382947564039,64.34008380246284,14400
2000-02-15,62.3931999206543,62.856745239529886,62.022363665553826,62.856745239529886,9700
2000-02-16,61.18799591064453,62.11508675777551,61.09528682593143,61.929668588349315,55600
2000-02-17,63.598411560058594,63.87653872431542,63.04215723154496,63.78382966956314,17800
2000-02-18,62.57863998413086,63.32031275431316,62.11509450276693,62.485930887858075,47200
2000-02-22,59.843692779541016,60.07546540843157,59.70462920220668,60.07546540843157,19400
2000-02-23,61.09529495239258,61.188004049437176,60.029140336379655,60.029140336379655,11500
2000-02-24,60.81715393066406,61.37340838734696,60.72444485455024,61.28069931123315,15100
2000-02-25,61.0025749206543,61.373411242360405,60.35361135766861,60.63173859894819,11200
2000-02-28,61.65154266357422,61.651542663574226,60.77080633980888,61.002579056589234,17600
2000-02-29,60.3072624206543,60.44632605421461,59.84371697545327,60.07548969805379,17400
2000-03-01,60.86351776123047,61.28070866743845,60.075490493948735,60.307263219619834,25800
2000-03-02,60.353614807128906,60.72445115002985,60.26090572140367,60.67809660716723,17000
2000-03-03,60.77080535888672,61.09528715714164,60.3536144754161,60.49267810323964,19100
2000-03-06,59.7973747253418,60.35362937394963,59.704665617240494,60.07550204964571,13200
2000-03-07,61.929664611816406,62.39321000561743,61.929664611816406,61.929664611816406,17500
2000-03-08,63.04215621948242,63.273928852642285,62.115065686842975,62.115065686842975,39600
2000-03-09,64.15469360351562,64.43282088792394,63.783857224304555,63.783857224304555,14900
2000-03-10,66.51876831054688,67.1677319038205,66.28699559866344,66.3797046834168,18100
2000-03-13,65.73072052001953,66.33332938233283,65.63801146427903,66.33332938233283,16600
2000-03-14,66.05523681640625,66.84326420298794,66.05523681640625,66.47242778577302,17700
