Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-01-04,87.58127450968259,87.70517858508398,84.95085279667997,85.89583587646484,37324000,214.67111131281493,215.12451393232777,207.223750280704,210.00204467773438,37130100,130.4198058762155,130.50771259087762,123.8167640988133,126.40523529052734,143301900
2021-01-05,85.84408949685165,86.92591538334669,85.4365378377414,86.58853149414062,20360000,209.58716238519727,210.80267319267213,208.08225826156576,210.20455932617188,23823000,125.89730757907694,128.68113950331986,125.4479817429498,127.96807861328125,97664900
2021-01-06,84.60849276055802,86.78359483694405,84.40148228115612,85.7341079711914,46588000,204.6769586619817,208.84439971467242,204.45508551109228,204.75413513183594,35930700,124.75447411900687,128.00715673158123,123.44558366599814,123.66047668457031,155088000
2021-01-07,85.92718285176521,88.4680365310176,85.92718285176521,88.29486846923828,41936000,206.48091954701593,211.59374676648795,206.1625868380979,210.58082580566406,27694500,125.37962311713653,128.57370150076903,124.89123256509167,127.88018035888672,109578200
2021-01-08,88.43520016542561,89.53991920335396,87.64198775015869,89.46378326416016,35484000,210.9570559155459,212.78996405087463,209.36533346109607,211.86386108398438,22956200,129.3551144383391,129.5504825827211,127.20619899060827,128.98394775390625,105158200
2021-01-11,88.42822700365895,88.79447981255163,87.19015051877497,87.39665985107422,34796000,210.7544833480183,211.17894660014582,209.0759281382161,209.80909729003906,23031300,126.1903448095608,127.1475860544949,125.51636350795053,125.98521423339844,100384500
2021-01-12,86.85275048203393,87.97438678522597,85.41064774837153,86.45813751220703,29528000,208.85405350778225,209.4328697056975,205.78636593059068,207.33949279785156,23249300,125.5163499461026,126.67872164160659,123.91442981145272,125.80938720703125,91951100
2021-01-13,85.95505131902136,87.40164172592644,85.95505131902136,86.94681549072266,23432000,206.46164808437925,209.10487249439277,206.37481534806392,208.69970703125,20087100,125.77030485446012,128.39784789227025,125.50658473947469,127.8508529663086,88636800
2021-01-14,87.02742201402309,87.95698355407666,85.89284698308188,86.13419342041016,29212000,208.28486838376134,209.78013111431568,205.22682271567444,205.49693298339844,29480800,127.76297053653161,127.95832377513628,125.77032875107238,125.91685485839844,90221800
2021-01-15,86.03964495454214,86.9652201288953,85.17826937574225,85.96997833251953,31444000,205.97929960679494,206.93432719678094,204.54191537229212,205.1400146484375,31746500,125.78986283591505,127.19642993721087,124.05119375361772,124.18794250488281,111598500
2021-01-19,86.73532241988458,89.76284772453106,86.22924282649801,88.79895782470703,41660000,206.2011410675174,209.3170652998531,205.12070003287826,208.796142578125,30480900,124.81309643726976,125.7215106737219,123.99260383334368,124.8619384765625,90757300
2021-01-20,90.88397660113064,94.53402890494993,90.54261398019355,93.55620574951172,64152000,210.01167500183746,217.81596395680273,209.61615108340143,216.41717529296875,37777300,125.67266873501019,129.41374239946222,125.56522221027927,128.96441650390625,104319500
2021-01-21,94.23198512960039,96.14433582290614,93.52336737446421,93.75923919677734,58634000,216.76446409311393,218.30796418338835,214.56498603241292,217.02493286132812,30709400,130.6933214660753,136.42702207412472,130.48819086563083,133.69203186035156,120150900
2021-01-22,94.12299577520295,94.76641920003334,93.37855385519987,94.177734375,32744000,219.06040382451215,221.94481374827697,217.82560971130675,217.97030639648438,30172700,133.1157150150256,136.60283037919487,131.88497630652225,135.8409423828125,114459400
2021-01-25,95.181933158644,95.63377526738347,92.51567974733115,94.26332092285156,50586000,221.02836523771916,221.66506012946064,216.3014201273162,221.42388916015625,33152100,139.74805806803522,141.72114486140973,133.36966473426315,139.60153198242188,157611700
2021-01-26,93.85080553412007,95.33172432985599,93.36015508295559,94.9435806274414,31462000,223.67156695835445,225.90962552490151,221.95443112163733,224.12496948242188,49169600,140.26575403148016,140.94949773337214,138.08752172506703,139.83596801757812,98390600
2021-01-27,93.29944372261227,93.576120836045,89.4364122301707,90.5142593383789,82512000,229.5947593101219,231.94859029016717,222.0123435609157,224.67486572265625,69870600,140.09967490857025,140.94948441192093,137.14980737284998,138.76148986816406,140843800
2021-01-28,91.11438957910407,93.95032603866761,91.11438957910407,92.21910858154297,55278000,227.28918505493604,234.070912016204,226.78754528155395,230.49192810058594,49111200,136.28046069255305,138.69311044857827,133.52593169647875,133.90687561035156,142621100
2021-01-29,91.26466613402292,91.9374520917969,89.64939516724566,90.9332504272461,44530000,227.65570999358513,229.6140167126395,223.17957824718872,223.76803588867188,42503100,132.67617999744974,133.56505438488097,127.18667492713263,128.8960418701172,177523800
2021-02-01,91.79065524466398,95.32127620814629,91.79065524466398,94.203125,40252000,226.75856737700522,233.93581706822144,224.22144432069945,231.18646240234375,33314200,130.6444618808397,132.2366197184336,127.88993224067084,131.02540588378906,106239800
2021-02-02,95.20134574308125,97.00472029972896,94.864948984388,95.49942016601562,66332000,232.77822981544182,233.75255526281515,230.26040422816016,231.0514373779297,25916300,132.57849082798725,133.14502563870852,131.48450079597174,131.85568237304688,83305400
2021-02-03,102.78907880627591,104.8298211991322,100.19845982100969,102.45417785644531,97882000,231.10930869338551,236.43435275542583,230.8102443459254,234.4181671142578,27158100,132.60776578490467,132.61754313249799,130.50769287241187,130.8300323486328,89880900
2021-02-04,102.54075646793045,102.9726895274493,101.27082695508153,102.19292449951172,48596000,234.09015750462424,234.64967583453253,231.88102351930485,233.46310424804688,25296100,133.1352633782053,134.2097136169971,131.4649611835476,134.199951171875,84183100
2021-02-05,102.48801214016696,104.29835730952522,102.01228969427049,103.94454956054688,29866000,233.6753931988384,234.68831430814424,231.92931757379867,233.64645385742188,18054800,134.36139896230972,134.42986806612836,132.90381458934533,133.7842254638672,75693800
2021-02-08,104.5003912566402,105.24682262275905,102.67661395971716,103.73007202148438,28828000,234.56283820883678,235.07411939756682,232.30548186011492,233.9068603515625,22211900,133.0700669616327,133.97983847702403,131.98421930396577,133.93092346191406,71297200
2021-02-09,103.24637908993188,104.4262393016287,103.00752319120647,103.27574157714844,21892000,233.32807212451993,236.1160077909551,232.855386470844,235.16098022460938,23565000,133.6472186633411,134.87981130485002,132.89398418993693,133.0504913330078,76774200
